task_type,m1_1,m2_1,m3_1
T2,4.659,8.009,9.316
T3,8.033,9.11,9.438
T3,7.888,8.459,9.651
T1,7.487,4.998,11.268
T1,7.009,5.25,12.203
T2,5.147,8.419,10.074
T3,7.889,9.729,9.005
T3,7.461,8.276,9.439
T1,6.79,5.1,11.137
T2,5.165,7.665,10.092
T4,6.236,6.941,8.535
T3,7.879,8.592,9.348
T4,6.222,7.207,7.734
T2,4.751,8.479,9.421
T4,6.093,7.205,8.213
T4,6.024,7.235,8.263
T1,6.89,4.609,12.729
T1,6.55,4.687,11.887
T1,6.94,4.835,12.756
T2,5.356,8.024,9.64
T4,6.188,6.849,7.67
T3,7.997,9.299,9.216
T1,6.526,5.093,12.166
T2,4.827,8.639,10.717
T4,6.153,7.303,7.976
T3,7.954,9.593,9.142
T4,5.784,7.176,7.367
T3,7.643,8.354,9.003
T4,6.179,6.446,8.275
T4,5.524,7.348,7.55
T1,6.607,5.205,11.677
T1,6.492,4.926,11.691
T4,6.348,6.899,7.943
T1,6.844,5.17,12.395
T2,5.147,7.432,10.304
T2,4.728,7.747,9.575
T2,5.411,7.717,9.702
T1,7.38,4.97,11.12
T2,5.044,7.614,10.55
T1,7.072,4.906,12.345
T4,6.037,6.532,7.936
T1,7.198,4.625,12.481
T1,7.586,5.048,11.981
T2,4.804,7.45,9.18
T1,6.526,5.254,11.215
T2,5.19,8.199,9.631
T2,5.349,7.628,9.475
T2,4.767,8.236,9.356
T2,4.827,7.848,9.173
T3,8.303,8.295,8.313
T2,5.036,8.22,9.801
T2,5.223,7.446,9.739
T4,5.483,7.548,8.362
T4,5.76,6.622,7.741
T4,5.876,7.091,8.239
T4,5.662,7.389,8.506
T2,5.193,8.205,9.505
T2,5.117,8.369,9.774
T3,8.605,9.696,9.038
T2,5.109,8.331,9.985
T2,5.029,8.127,10.409
T1,6.828,5.234,12.91
T3,7.988,9.186,9.634
T3,8.294,9.426,8.752
T4,6.066,7.32,8.182
T2,5.351,7.784,10.422
T4,5.809,7.591,7.656
T1,7.038,5.313,12.471
T2,5.412,7.997,10.773
T1,6.75,5.325,11.671
T3,8.577,8.334,9.686
T3,8.271,8.472,9.065
T4,6.156,7.354,8.519
T2,4.665,8.319,10.424
T4,5.54,6.55,8.243
T2,5.431,7.928,9.192
T2,4.831,8.503,9.684
T2,5.363,8.109,9.792
T3,7.324,8.664,9.288
T4,6.351,6.681,7.949
T3,7.829,8.883,8.381
T1,6.813,5.266,11.105
T3,7.7,8.655,8.446
T1,6.987,4.596,12.571
T4,6.099,6.785,7.468
T1,6.836,4.98,11.291
T2,4.633,7.486,9.86
T3,8.102,9.352,8.93
T2,5.219,8.5,10.457
T2,5.327,7.899,10.716
T2,4.651,7.414,9.97
T1,7.226,5.426,12.627
T2,5.129,7.769,9.645
T3,7.632,8.925,9.761
T4,5.853,6.568,7.718
T2,4.995,7.595,10.297
T1,6.883,5.1,11.545
T3,7.799,8.278,8.682
T1,7.153,4.791,12.055
T2,5.085,7.335,10.642
T1,7.557,5.257,11.766
T2,4.819,8.262,10.624
T1,6.395,4.972,11.966
T1,7.292,4.893,11.459
T1,7.582,4.893,12.722
T2,4.752,8.117,10.618
T2,5.167,8.421,10.119
T4,5.802,6.927,7.529
T1,7.095,4.636,12.556
T2,5.322,8.225,9.434
T1,6.671,5.285,11.313
