task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1,ext_m8-1
4,0.049,106.64,102.31,107.34,97.6,107.08,1.04,9.52,1.11,103.81,102.0,91.8,103.51,114.25,1.06,9.52,1.1
3,0.186,108.58,107.01,113.6,107.97,109.78,1.05,10.15,0.99,98.9,106.34,106.2,104.09,99.4,1.1,9.43,0.95
4,0.558,93.72,108.41,107.47,101.66,107.69,0.99,9.66,1.11,103.15,99.77,103.75,103.31,102.4,1.11,10.42,1.14
2,1.407,107.66,108.14,115.99,102.19,103.01,1.02,11.14,1.13,99.19,106.54,106.52,116.13,105.24,1.02,10.63,1.08
2,1.561,101.98,98.21,108.36,101.19,105.32,0.94,10.7,1.06,112.8,95.99,104.44,104.56,112.45,0.98,10.04,1.02
3,1.631,103.43,112.17,102.42,104.53,100.67,1.1,10.48,1.0,104.02,97.88,103.51,97.4,108.76,0.96,10.59,1.04
3,1.79,107.26,98.8,105.67,109.31,106.37,1.02,10.0,1.08,98.78,106.09,104.69,104.2,108.51,1.1,10.92,1.04
4,1.906,103.7,102.66,94.14,106.98,114.91,1.04,9.5,1.12,99.81,110.28,107.62,101.35,115.2,1.1,10.6,1.06
3,2.44,113.25,97.64,105.47,96.69,97.41,0.95,10.28,1.06,111.45,110.51,106.93,100.01,96.28,1.0,9.66,0.99
2,3.284,110.54,94.47,109.64,109.81,105.0,0.95,11.0,1.01,100.8,96.58,99.27,104.86,101.34,0.99,10.33,1.14
3,4.503,106.86,97.65,112.22,99.69,102.68,1.01,10.48,1.11,115.28,103.43,112.31,95.62,99.51,1.09,9.66,0.95
3,4.793,112.68,101.82,102.24,107.97,98.74,0.94,9.39,1.11,105.98,112.11,109.45,104.01,109.38,0.99,10.17,1.03
2,4.882,110.67,101.27,103.21,97.77,112.85,1.02,10.97,1.1,111.81,108.62,100.21,107.14,110.91,1.06,10.25,1.01
1,5.035,109.03,108.25,106.52,102.65,92.55,1.0,10.78,1.09,114.51,114.14,104.41,106.37,105.91,0.92,11.23,0.98
2,5.189,97.49,103.76,116.22,105.62,106.35,0.99,10.99,1.11,96.96,103.47,109.9,103.5,106.99,0.94,10.57,1.08
1,5.245,113.61,109.48,95.32,104.05,104.45,0.94,11.84,0.98,103.83,109.92,95.45,102.6,105.8,0.94,10.4,0.98
1,5.411,116.14,114.89,105.52,111.53,103.98,0.93,11.64,0.95,111.79,108.63,110.87,100.7,105.59,1.03,10.81,0.96
4,5.565,92.12,100.83,96.85,93.04,111.16,1.05,11.13,0.98,107.07,106.29,99.16,95.48,114.68,1.14,10.19,1.01
1,6.886,100.37,100.59,107.81,107.65,102.16,1.08,10.03,0.96,101.72,105.14,97.47,116.74,103.51,0.96,11.46,1.0
1,7.04,115.08,111.86,107.8,103.63,106.33,1.02,10.07,0.98,107.63,105.48,111.98,114.21,92.04,1.02,11.61,0.97
3,7.426,114.91,98.64,98.13,100.95,104.86,1.02,9.58,1.11,108.42,113.12,99.45,106.01,109.02,1.1,9.65,1.05
3,7.48,104.71,97.32,100.2,110.48,93.39,0.95,10.98,1.01,105.66,114.77,110.18,111.66,95.27,0.94,9.76,0.95
3,7.601,99.57,104.64,102.5,110.65,93.69,1.01,10.89,0.96,115.15,105.42,105.53,109.76,93.18,1.05,9.85,1.1
4,7.624,93.8,103.84,101.79,98.72,115.83,1.0,10.61,0.97,103.59,114.95,96.44,97.86,98.97,1.16,9.94,1.05
3,7.863,101.5,99.35,108.69,105.26,95.39,1.08,10.28,1.04,100.95,106.94,112.95,111.05,99.61,1.05,10.9,0.96
