task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1
1,1.044,1.853,1.515,4.919,0.804,2.389,1.914,4.582,0.707
4,1.9,2.08,1.762,4.463,0.856,2.318,1.388,4.734,0.998
3,2.277,2.182,1.644,4.367,0.752,1.753,1.55,5.341,0.975
1,2.369,2.238,1.443,3.922,0.637,2.469,1.942,4.479,0.842
4,3.22,1.9,1.888,3.778,0.817,2.387,1.671,3.739,0.876
2,3.272,1.951,1.652,3.799,0.863,2.397,1.626,4.82,0.861
3,3.752,2.231,1.542,5.951,0.952,1.868,1.523,5.615,0.904
2,4.36,2.605,1.628,5.05,0.936,2.633,1.987,3.886,0.833
4,4.71,2.102,1.651,3.839,0.888,1.809,1.567,4.057,0.825
1,4.956,2.483,1.662,4.134,0.655,1.946,1.897,4.832,0.806
1,4.959,1.905,1.546,4.469,0.811,2.056,1.497,3.987,0.746
2,5.447,2.352,1.918,4.334,0.885,2.179,1.799,3.642,0.821
4,5.611,2.245,1.677,4.643,1.03,2.136,1.573,4.859,1.015
3,5.983,2.354,1.413,4.222,0.75,2.132,1.571,5.897,0.959
1,6.008,2.384,1.547,4.39,0.855,2.12,1.827,3.652,0.668
4,6.216,1.849,1.724,3.748,0.989,2.202,1.373,4.537,0.964
4,6.229,2.276,1.584,4.323,0.933,1.865,1.738,4.235,0.772
1,6.791,2.096,1.947,4.43,0.661,2.238,1.865,4.161,0.837
1,7.209,2.546,1.548,3.773,0.855,2.433,1.868,4.487,0.742
2,7.506,2.223,2.007,4.279,0.787,2.601,1.824,4.886,0.93
2,7.667,2.25,1.932,4.536,0.832,2.422,2.073,5.084,0.725
3,8.059,2.432,1.636,5.535,0.986,1.876,1.689,5.379,1.0
1,9.271,2.093,1.447,4.907,0.669,2.098,1.916,4.647,0.703
3,9.274,1.805,1.412,5.217,0.967,2.18,1.299,5.695,1.012
3,9.459,2.317,1.715,5.951,0.762,2.202,1.625,5.281,0.951
1,9.856,1.988,1.862,3.632,0.773,2.382,1.492,4.364,0.714
3,10.428,1.893,1.783,5.079,0.792,2.211,1.357,4.427,0.99
1,10.549,2.24,1.479,4.199,0.701,1.889,1.552,4.386,0.845
4,10.735,2.406,1.483,4.822,0.954,2.078,1.578,4.554,0.914
4,10.791,2.046,1.633,4.932,0.81,2.016,1.819,3.752,0.771
3,13.141,2.254,1.768,5.962,0.816,2.183,1.366,5.938,0.882
3,13.731,2.278,1.448,4.84,0.889,2.057,1.467,5.655,0.94
3,15.045,2.252,1.771,5.372,0.792,2.18,1.686,5.656,1.001
3,15.058,2.159,1.597,5.852,1.002,1.978,1.388,5.28,0.928
3,15.236,1.959,1.633,4.507,0.995,1.758,1.543,4.62,0.765
4,15.451,2.175,1.519,3.934,0.843,2.412,1.505,4.521,0.846
4,15.978,2.304,1.42,4.029,0.755,1.779,1.413,4.463,0.844
2,18.924,2.1,2.067,4.848,0.83,2.55,1.52,4.37,0.901
2,19.333,2.603,1.66,4.977,0.76,2.329,1.984,4.536,0.903
2,19.356,1.926,2.132,4.297,0.733,2.582,1.904,3.807,0.888
4,19.6,2.112,1.81,4.96,0.977,1.796,1.366,4.604,0.926
4,19.704,2.064,1.739,4.364,0.84,2.4,1.747,5.041,0.815
3,20.124,2.42,1.492,5.058,0.936,1.788,1.38,4.508,0.89
4,20.421,2.068,1.781,4.967,1.063,1.793,1.498,4.62,0.988
1,20.674,1.938,1.41,4.053,0.839,2.525,1.516,4.297,0.66
1,21.302,2.318,1.82,4.698,0.732,1.949,1.52,3.986,0.638
1,21.412,2.623,1.641,4.28,0.61,2.158,1.616,3.872,0.723
3,21.805,2.432,1.363,5.936,0.785,1.952,1.561,5.338,0.741
2,22.294,2.632,1.932,4.597,0.729,2.304,1.822,4.017,0.989
1,22.368,2.458,1.942,5.102,0.687,2.522,1.44,4.45,0.617
2,23.275,2.073,1.641,3.624,0.984,2.258,2.034,3.675,0.719
1,23.299,2.405,1.702,4.454,0.703,2.625,1.459,4.38,0.737
3,24.487,2.204,1.6,5.119,0.845,1.757,1.49,4.261,0.916
2,27.09,2.209,1.866,4.584,0.996,2.391,1.598,3.637,0.839
3,27.831,2.147,1.347,5.67,0.937,2.36,1.739,4.685,0.82
1,28.266,1.914,1.448,4.024,0.757,2.233,1.913,3.8,0.643
2,28.578,1.897,1.655,4.313,0.815,2.571,1.825,4.194,0.901
3,28.961,1.889,1.767,5.882,0.808,1.979,1.794,5.02,0.898
3,29.623,1.818,1.633,5.507,0.915,2.005,1.458,4.548,0.997
3,30.361,2.405,1.509,5.676,0.787,1.832,1.585,4.372,0.723
3,32.348,2.36,1.331,5.205,0.904,2.118,1.425,4.943,0.985
1,32.815,2.306,1.766,3.624,0.643,1.97,1.974,4.566,0.636
1,33.31,2.456,1.862,4.369,0.826,2.138,1.463,4.131,0.702
3,34.901,2.225,1.397,4.477,0.882,2.231,1.624,4.252,0.735
3,35.73,2.193,1.702,5.747,0.745,2.266,1.587,5.64,0.826
1,36.377,2.604,1.479,4.511,0.777,2.54,1.44,3.853,0.682
1,36.411,2.603,1.797,4.412,0.822,2.338,1.835,3.877,0.712
2,37.028,2.222,2.088,5.127,0.796,2.415,1.77,4.307,0.972
2,37.43,2.337,1.91,4.495,0.753,2.121,2.03,3.751,0.96
1,37.444,1.988,1.601,5.099,0.788,2.441,1.978,4.843,0.749
