task_type,m1_1,m2_1,m3_1,m4_1
T2,1.062,5.32,6.649,8.88
T2,1.212,4.984,7.037,9.523
T2,1.189,5.698,7.135,8.304
T1,0.094,0.407,0.622,0.767
T2,1.112,5.336,7.44,9.376
T4,1.385,5.593,8.135,10.845
T3,1.155,6.236,7.262,9.669
T4,1.221,5.64,7.843,10.82
T2,1.053,5.354,7.053,8.389
T2,1.121,5.533,7.386,8.81
T3,1.218,5.97,7.716,10.398
T2,1.082,5.369,7.615,8.544
T1,0.091,0.409,0.562,0.736
T1,0.095,0.45,0.597,0.728
T1,0.098,0.445,0.603,0.79
T4,1.217,5.966,8.412,9.336
T4,1.24,6.262,7.399,10.084
T2,1.162,5.177,7.033,9.58
T4,1.211,5.827,8.612,10.18
T2,1.123,5.004,6.614,9.27
T3,1.27,5.344,7.623,9.033
T3,1.148,5.442,8.331,10.216
T4,1.312,6.45,8.579,9.671
T1,0.099,0.459,0.544,0.714
T3,1.277,5.754,7.404,9.396
T1,0.095,0.424,0.632,0.703
T4,1.396,5.628,8.324,9.53
T3,1.302,5.494,8.199,9.017
T3,1.226,5.521,8.264,9.641
T1,0.1,0.434,0.604,0.672
T2,1.113,5.234,7.602,8.268
T3,1.322,6.192,8.253,9.887
T3,1.168,6.143,8.135,9.224
T2,1.188,5.661,6.669,8.903
T1,0.099,0.401,0.561,0.673
T1,0.093,0.418,0.567,0.753
T3,1.326,5.323,7.662,9.742
T2,1.202,5.11,6.919,8.466
T4,1.309,5.924,8.008,9.927
T4,1.288,6.505,7.772,9.723
T2,1.06,5.355,7.119,9.477
T3,1.297,6.189,7.156,10.392
T4,1.288,5.638,8.595,10.391
T4,1.283,6.22,8.104,10.05
T2,1.18,5.58,7.25,9.27
T4,1.255,5.591,7.613,10.205
T3,1.191,5.929,7.446,9.764
T2,1.09,4.904,6.815,8.792
T3,1.333,5.518,7.686,9.636
T2,1.238,5.643,7.585,9.135
T1,0.096,0.425,0.576,0.682
T4,1.217,5.629,7.802,10.117
T3,1.324,5.979,8.131,9.499
T1,0.096,0.453,0.541,0.668
T2,1.129,5.314,7.727,8.238
T3,1.166,5.99,8.499,9.05
T3,1.31,5.822,8.498,10.383
T4,1.203,5.716,8.573,10.705
T3,1.319,5.607,7.234,9.398
T4,1.36,6.342,8.597,10.699
T4,1.28,6.337,8.534,9.266
T2,1.051,5.197,7.012,8.6
T1,0.094,0.403,0.638,0.76
T1,0.093,0.469,0.555,0.789
T2,1.164,5.379,7.566,8.26
T1,0.095,0.405,0.582,0.761
T2,1.214,5.7,6.97,8.497
T4,1.183,5.867,8.282,10.697
T4,1.206,5.917,8.444,9.185
T4,1.277,5.784,8.265,9.913
T4,1.278,6.222,7.385,10.388
T2,1.076,5.333,7.233,8.927
T3,1.276,5.373,7.433,10.001
T1,0.087,0.427,0.585,0.786
T3,1.241,5.56,7.672,9.09
T2,1.088,5.026,6.574,8.201
T2,1.146,4.911,6.617,8.389
T4,1.332,5.583,8.289,10.541
T3,1.318,5.907,8.074,10.084
T3,1.268,5.842,7.52,9.153
T2,1.162,5.122,7.239,8.136
T2,1.238,5.444,7.269,8.244
T3,1.269,5.767,8.46,10.185
T3,1.353,6.186,8.453,10.076
T3,1.331,6.296,8.08,9.996
T4,1.228,5.767,8.384,10.4
T3,1.165,6.308,7.318,9.223
T3,1.195,6.133,7.19,10.063
T4,1.193,5.618,8.699,9.734
T2,1.089,5.305,6.712,8.991
T3,1.23,5.755,8.225,10.193
T3,1.322,5.564,8.128,10.406
T1,0.093,0.403,0.589,0.692
T4,1.39,6.091,8.307,10.714
T1,0.088,0.408,0.597,0.727
T4,1.364,6.069,7.595,10.275
T4,1.296,5.57,7.478,10.844
T3,1.158,5.327,7.512,9.411
T4,1.375,6.14,7.604,10.801
T3,1.24,6.087,8.384,9.879
T2,1.238,5.321,6.606,8.658
T3,1.276,6.158,8.196,9.731
T3,1.157,5.898,8.139,9.49
T2,1.184,5.685,7.322,9.251
T2,1.15,5.754,7.083,8.672
T3,1.234,6.116,8.49,10.379
T1,0.098,0.455,0.604,0.773
T2,1.183,5.748,6.778,8.597
T2,1.115,5.671,7.263,8.092
T2,1.112,5.311,6.683,9.412
T3,1.249,5.739,7.187,10.227
T4,1.311,5.493,7.893,9.55
T1,0.099,0.451,0.609,0.789
T1,0.094,0.475,0.62,0.679
T2,1.223,5.545,6.996,8.424
T3,1.231,6.01,8.391,10.266
T2,1.073,5.233,7.208,9.044
T4,1.227,6.161,7.388,10.241
T2,1.134,5.369,6.569,8.952
T1,0.088,0.452,0.597,0.771
T3,1.23,5.887,7.305,10.456
T1,0.097,0.43,0.635,0.761
T1,0.089,0.401,0.559,0.766
T2,1.093,5.573,7.097,8.201
T1,0.087,0.466,0.579,0.681
T1,0.1,0.421,0.596,0.674
T1,0.088,0.404,0.58,0.759
T4,1.364,5.6,7.503,10.13
T4,1.189,6.095,8.02,9.174
T1,0.098,0.401,0.618,0.698
T4,1.397,6.284,7.61,9.521
T1,0.092,0.43,0.595,0.741
T1,0.092,0.443,0.608,0.769
T1,0.091,0.412,0.581,0.786
T4,1.284,6.248,7.658,10.12
T2,1.202,4.879,7.248,9.285
T1,0.093,0.401,0.632,0.792
T1,0.1,0.416,0.538,0.73
T3,1.31,5.341,8.306,10.205
T1,0.092,0.443,0.63,0.731
T2,1.098,5.511,7.319,9.202
T1,0.089,0.421,0.544,0.738
T1,0.088,0.464,0.564,0.778
T4,1.19,6.009,8.698,10.802
T4,1.368,5.734,8.373,9.886
T3,1.24,6.077,8.283,8.914
T2,1.059,5.095,6.537,9.329
T1,0.101,0.409,0.621,0.753
T1,0.089,0.423,0.569,0.743
T2,1.139,5.73,6.845,8.386
T4,1.253,5.575,7.642,10.113
T3,1.268,5.659,7.728,9.585
T3,1.224,6.205,8.492,9.576
T2,1.16,5.379,7.175,9.39
T1,0.088,0.43,0.537,0.766
T2,1.177,5.036,6.953,9.106
T3,1.156,5.887,7.292,9.041
T2,1.077,4.957,7.308,8.954
T2,1.219,4.995,7.011,8.392
T3,1.169,5.452,7.781,9.088
T2,1.087,4.978,7.04,8.529
T4,1.333,5.517,7.635,9.25
T4,1.311,5.748,7.501,10.631
T4,1.219,5.655,7.611,10.628
T4,1.31,5.871,8.1,9.161
T3,1.146,5.639,8.365,10.278
T3,1.227,5.531,7.176,9.874
T3,1.221,5.448,8.209,9.878
T3,1.238,6.309,7.15,9.807
T2,1.073,5.161,7.707,9.278
T4,1.196,6.114,8.291,9.97
T3,1.243,6.061,8.128,9.43
T3,1.241,5.336,7.754,9.221
T2,1.234,5.216,6.563,8.944
T1,0.09,0.444,0.629,0.737
T4,1.209,6.098,8.07,9.993
T3,1.348,6.259,8.305,9.593
T2,1.112,4.999,6.934,8.246
T1,0.101,0.439,0.607,0.683
T3,1.171,6.031,8.46,10.114
T3,1.229,5.869,7.286,9.703
T1,0.102,0.463,0.613,0.667
T4,1.259,6.463,7.864,9.138
T2,1.157,5.559,7.068,9.204
T4,1.308,5.6,8.305,9.805
T4,1.366,5.992,7.502,10.451
T3,1.239,5.605,8.035,9.165
T2,1.051,4.973,7.745,9.015
T1,0.088,0.407,0.598,0.67
T2,1.139,5.283,6.915,8.936
T4,1.296,6.449,8.066,9.198
T3,1.188,5.601,7.511,9.205
T3,1.326,6.178,7.689,9.878
T4,1.292,6.506,7.796,9.301
T3,1.334,6.128,8.292,10.336
T4,1.259,5.597,7.98,10.685
T2,1.137,5.416,7.419,8.522
T4,1.324,5.667,8.497,10.834
T3,1.225,6.01,7.485,10.372
T2,1.132,5.372,6.98,9.003
T3,1.347,6.086,8.387,10.47
T4,1.367,6.438,7.807,10.318
T3,1.253,5.916,7.506,9.549
T4,1.303,6.067,8.657,9.829
T3,1.352,5.785,8.375,8.962
T3,1.277,5.811,7.397,10.145
T3,1.352,5.466,7.234,10.504
T4,1.213,5.623,8.069,9.969
T4,1.329,6.112,8.554,10.685
T2,1.092,5.67,7.198,9.475
T1,0.098,0.445,0.608,0.76
T3,1.202,5.479,7.462,9.5
T2,1.044,5.182,7.676,8.519
T2,1.076,5.213,7.057,8.802
T4,1.266,6.215,7.567,10.785
T4,1.181,6.248,8.38,10.151
T1,0.102,0.469,0.56,0.79
T1,0.092,0.455,0.595,0.688
T2,1.202,5.28,7.532,8.318
T3,1.29,5.379,7.972,9.489
T3,1.163,5.639,7.957,9.247
T1,0.093,0.416,0.611,0.775
T3,1.226,5.929,7.905,9.65
T1,0.099,0.428,0.636,0.787
T1,0.096,0.444,0.575,0.78
T2,1.142,5.077,6.6,9.28
T2,1.224,4.854,7.605,8.367
T3,1.17,5.444,8.412,9.008
T3,1.196,5.695,8.335,9.36
T2,1.154,5.755,6.658,8.817
T3,1.239,6.184,7.77,10.163
T4,1.321,5.795,7.689,9.642
T1,0.088,0.444,0.569,0.736
T3,1.171,5.847,7.666,9.977
T2,1.074,4.957,7.707,8.19
T2,1.129,5.24,6.787,8.592
T3,1.351,5.999,8.303,10.178
T4,1.341,6.067,8.742,10.082
T1,0.098,0.475,0.584,0.766
T2,1.15,4.937,7.258,8.413
T2,1.127,5.236,7.264,8.906
T1,0.097,0.406,0.601,0.769
T2,1.066,5.26,7.701,9.391
T4,1.398,6.36,8.008,10.012
T2,1.05,4.87,7.4,9.185
T3,1.216,5.704,7.888,10.291
T2,1.052,5.637,6.534,8.306
T1,0.097,0.447,0.6,0.769
T3,1.288,5.36,7.827,9.611
T2,1.237,4.928,7.421,8.395
T1,0.097,0.415,0.564,0.703
T4,1.354,6.521,8.314,9.519
T4,1.241,5.825,7.716,10.135
T1,0.094,0.454,0.593,0.753
T4,1.373,6.454,8.749,9.698
T1,0.087,0.402,0.634,0.706
T2,1.218,5.294,6.585,8.27
T4,1.231,5.802,8.004,9.741
T1,0.101,0.45,0.61,0.736
T3,1.26,5.507,8.43,9.288
T4,1.24,5.825,8.058,9.311
T2,1.055,5.685,7.674,9.423
T1,0.086,0.422,0.566,0.761
T2,1.231,5.095,6.83,8.464
T2,1.061,5.326,6.972,9.061
T4,1.313,5.945,7.581,9.261
T2,1.064,5.37,7.252,8.737
T1,0.087,0.466,0.613,0.77
T2,1.218,5.633,7.161,8.831
T2,1.2,5.427,7.679,9.202
T3,1.268,5.756,8.502,10.516
T4,1.26,5.67,8.168,9.975
T3,1.3,5.384,8.46,9.958
T2,1.23,4.972,7.178,9.119
T2,1.178,5.607,6.982,8.156
T2,1.062,5.609,7.116,9.221
T2,1.063,5.672,6.879,8.531
T3,1.323,6.081,7.745,8.955
T4,1.199,6.483,8.144,10.506
T3,1.207,5.708,7.584,9.951
T1,0.096,0.437,0.638,0.739
T4,1.396,5.891,8.088,10.504
T2,1.054,5.437,7.679,8.373
T1,0.098,0.456,0.545,0.679
T3,1.17,6.11,7.719,9.146
T3,1.293,5.635,7.45,10.172
T3,1.339,6.063,7.46,9.506
T2,1.05,5.597,7.523,8.847
T2,1.143,5.741,6.928,8.404
T1,0.101,0.402,0.55,0.774
T4,1.379,6.173,7.901,10.463
T3,1.2,5.984,7.602,9.941
T1,0.1,0.446,0.545,0.675
T3,1.301,5.54,7.494,9.494
T1,0.092,0.412,0.614,0.707
T2,1.171,5.308,7.277,9.452
T1,0.098,0.419,0.607,0.721
T1,0.098,0.45,0.56,0.716
T1,0.089,0.405,0.615,0.77
T1,0.089,0.429,0.63,0.756
T2,1.105,4.998,7.411,8.968
T2,1.107,5.647,6.643,8.549
T4,1.32,6.263,7.555,10.507
T1,0.096,0.405,0.541,0.767
T3,1.315,5.832,7.889,9.411
T2,1.219,5.623,7.638,8.775
T1,0.091,0.426,0.592,0.666
T3,1.26,5.665,8.008,8.863
T1,0.097,0.459,0.559,0.737
