,m1,m2,m3,m4,m5,m6,m7,m8
T1,108.81,10.03,1.06,108.47,10.63,5.09,1.05,5.03
T2,107.36,10.86,1.01,109.07,10.39,5.07,1.02,5.07
T3,104.71,10.89,1.01,103.24,10.41,5.02,1.01,5.15
T4,109.07,10.36,1.04,105.67,10.45,5.22,1.01,5.31
T5,100.45,10.07,1.09,103.46,10.25,5.08,1.0,5.1
T6,108.99,10.08,1.08,109.77,10.22,5.49,1.01,5.29
T7,102.33,10.39,1.01,105.29,10.22,5.05,1.1,5.28
T8,104.71,10.25,1.06,102.66,10.34,5.17,1.08,5.0
T9,106.84,10.37,1.06,105.98,10.55,5.12,1.05,5.22
T10,105.43,10.12,1.06,103.6,10.3,5.19,1.06,5.09
