,m1,m2,m3,m4,m5,m6,m7,m8
T1,5.31,26.53,107.52,105.76,25.56,5.25,1.1,27.2
T2,5.41,25.08,102.03,106.91,25.19,5.09,1.08,25.26
T3,5.26,25.97,108.31,103.42,25.94,5.43,1.06,27.39
T4,5.29,25.43,102.9,105.09,25.69,5.46,1.06,26.12
T5,5.01,26.27,100.7,105.4,26.51,5.09,1.02,26.84
T6,5.24,27.08,104.79,104.65,26.13,5.18,1.05,26.33
T7,5.25,27.36,107.99,101.09,26.92,5.37,1.08,25.86
T8,5.21,25.01,109.53,100.86,26.93,5.4,1.01,25.87
T9,5.14,26.01,104.69,106.72,27.3,5.25,1.08,25.61
T10,5.05,25.93,100.97,103.15,26.9,5.06,1.05,27.03
