,m1,m2,m3,m4,m5,m6,m7,m8
T1,101.38,109.23,10.68,25.82,101.19,10.26,100.07,1.07
T2,105.99,109.39,10.13,26.64,101.36,10.61,104.14,1.04
T3,103.89,100.31,10.33,25.18,108.4,10.06,102.09,1.05
T4,106.95,100.36,10.86,26.59,108.3,10.29,101.02,1.01
T5,102.78,104.19,10.08,26.86,102.75,10.22,107.37,1.02
T6,106.71,101.61,10.93,27.37,100.06,10.64,109.26,1.03
T7,109.02,107.76,10.76,26.04,103.48,10.65,102.99,1.0
T8,105.29,100.64,10.35,25.55,109.54,10.02,100.38,1.09
T9,100.67,106.57,10.4,27.02,104.41,10.25,101.19,1.04
T10,104.46,105.62,10.42,26.04,105.19,10.69,101.79,1.1
