,m1,m2,m3,m4,m5,m6,m7,m8
T1,10.41,104.24,5.03,1.07,1.02,104.57,26.06,27.45
T2,10.7,109.02,5.36,1.05,1.01,109.95,27.19,26.56
T3,10.4,101.79,5.49,1.09,1.02,101.2,26.3,26.83
T4,10.28,102.35,5.18,1.04,1.01,106.32,26.05,26.12
T5,10.99,101.29,5.35,1.04,1.07,106.13,27.26,25.92
T6,10.77,109.96,5.22,1.08,1.05,103.54,25.56,27.28
T7,10.64,103.02,5.01,1.0,1.02,104.67,27.26,26.35
T8,10.07,103.86,5.11,1.02,1.0,108.45,25.35,26.95
T9,10.2,104.41,5.1,1.01,1.09,109.81,26.1,26.17
T10,10.14,101.22,5.42,1.1,1.06,103.18,26.7,26.41
