,m1,m2,m3,m4,m5,m6,m7,m8
T1,25.28,162.05,25.4,26.86,26.63,155.15,26.05,1.04
T2,27.07,163.25,26.26,27.34,26.74,158.41,25.79,1.09
T3,26.34,155.39,27.15,26.96,26.35,150.37,26.77,1.02
T4,25.42,152.24,26.28,25.36,25.34,159.4,25.25,1.03
T5,27.01,156.73,25.18,26.68,27.49,161.98,26.96,1.0
T6,27.37,163.19,25.51,26.95,25.31,157.71,26.44,1.04
T7,26.48,150.39,25.37,26.31,25.76,161.33,26.99,1.05
T8,27.15,151.27,25.88,25.97,25.91,156.39,25.16,1.01
T9,26.92,157.24,26.08,25.25,26.75,155.33,25.94,1.05
T10,25.9,151.62,25.13,25.43,26.7,164.71,26.97,1.02
