,m1,m2,m3,m4,m5,m6,m7,m8
T1,10.37,10.08,158.32,103.8,26.92,26.09,104.17,26.31
T2,10.09,10.29,163.3,101.2,26.38,26.35,107.14,25.22
T3,10.85,10.29,154.76,105.57,26.99,26.65,103.42,27.34
T4,10.01,10.08,156.26,101.09,27.13,26.46,101.32,26.13
T5,10.72,10.16,154.96,104.85,27.16,26.08,100.62,25.95
T6,10.04,10.87,161.84,108.76,25.19,26.1,100.79,26.37
T7,10.55,10.84,157.66,107.58,26.05,25.03,100.23,27.06
T8,10.22,10.6,162.21,105.15,26.77,26.13,105.87,25.35
T9,10.47,10.68,161.71,103.54,25.38,27.5,104.8,25.46
T10,10.89,10.16,156.33,106.11,25.44,26.68,103.06,25.63
