,m1,m2,m3,m4,m5,m6,m7,m8
T1,102.86,5.45,10.4,25.11,161.32,102.07,1.09,25.6
T2,101.73,5.21,10.9,25.45,158.12,100.26,1.02,25.25
T3,107.92,5.48,10.49,27.13,164.91,108.17,1.04,26.99
T4,100.47,5.33,10.44,26.5,151.71,101.24,1.07,26.55
T5,101.05,5.36,10.7,25.85,154.18,106.36,1.1,25.89
T6,101.1,5.07,10.2,26.59,163.26,104.59,1.08,27.3
T7,109.68,5.45,10.32,25.22,158.37,105.38,1.09,26.39
T8,104.26,5.01,10.65,26.12,156.83,109.72,1.01,25.45
T9,101.36,5.37,10.61,27.39,154.71,106.58,1.01,27.24
T10,101.61,5.07,10.01,26.39,159.71,105.64,1.06,26.44
