,m1,m2,m3,m4,m5,m6,m7,m8
T1,11.0,107.15,10.96,105.88,10.76,1.08,109.5,27.36
T2,10.86,107.49,10.78,100.91,10.85,1.05,109.06,25.11
T3,10.86,109.07,10.8,108.06,10.57,1.04,103.54,27.41
T4,10.51,100.54,10.95,107.3,10.13,1.02,108.28,25.26
T5,10.39,109.89,10.32,106.33,10.69,1.09,104.03,25.24
T6,10.31,109.03,10.75,108.57,10.85,1.01,101.14,27.28
T7,10.0,103.76,10.61,108.21,10.11,1.0,108.69,26.27
T8,10.66,109.65,10.45,101.45,10.54,1.01,108.8,25.16
T9,10.64,101.78,10.05,109.2,10.32,1.1,102.64,26.26
T10,10.39,109.39,10.63,103.34,10.8,1.07,109.97,27.08
