,m1,m2,m3,m4,m5,m6,m7,m8
T1,10.05,25.95,25.41,103.94,10.31,109.71,103.93,100.27
T2,10.37,26.81,25.25,108.12,10.13,109.06,104.68,108.55
T3,10.57,25.65,25.21,109.57,10.21,100.31,100.93,102.73
T4,10.13,25.81,26.94,101.42,10.83,100.24,102.77,108.65
T5,10.4,27.28,25.34,107.88,10.23,101.33,100.29,105.13
T6,10.28,25.57,26.38,109.07,10.39,104.77,100.16,102.36
T7,10.52,27.08,26.73,101.22,10.22,108.35,105.68,108.94
T8,10.47,26.07,27.08,101.82,10.97,105.95,105.05,106.66
T9,10.34,27.21,26.47,102.71,10.04,104.19,103.93,103.46
T10,10.43,25.39,25.91,104.84,10.07,108.8,107.12,105.81
