,m1,m2,m3,m4,m5,m6,m7,m8
T1,5.14,5.21,25.0,10.51,107.08,107.92,105.07,26.71
T2,5.49,5.26,27.37,10.37,105.02,103.1,105.14,26.47
T3,5.12,5.39,25.86,10.26,104.53,106.11,106.86,25.62
T4,5.46,5.14,25.47,10.35,100.52,109.98,107.87,27.47
T5,5.02,5.37,27.4,10.27,106.99,102.95,107.59,26.68
T6,5.48,5.22,25.03,10.78,104.82,107.53,104.32,26.91
T7,5.06,5.3,25.79,10.48,102.03,100.52,100.23,27.28
T8,5.02,5.13,26.92,10.28,103.3,101.44,104.11,27.39
T9,5.17,5.13,26.36,10.41,101.59,104.37,105.53,25.3
T10,5.4,5.42,26.38,10.91,108.36,102.09,104.41,26.16
