,m1,m2,m3,m4,m5,m6,m7,m8
T1,100.88,1.03,5.04,107.28,1.04,1.03,26.85,27.12
T2,102.01,1.04,5.08,107.84,1.07,1.0,25.19,26.56
T3,108.4,1.03,5.27,103.03,1.02,1.06,25.01,26.75
T4,109.92,1.03,5.45,103.94,1.1,1.01,25.23,26.73
T5,100.91,1.06,5.29,104.31,1.09,1.08,26.65,25.87
T6,102.42,1.0,5.26,109.41,1.06,1.02,26.13,26.34
T7,101.88,1.02,5.04,108.32,1.05,1.03,26.11,27.1
T8,100.32,1.08,5.0,100.98,1.05,1.03,25.49,25.24
T9,109.84,1.05,5.35,106.74,1.05,1.03,25.67,26.16
T10,106.32,1.1,5.16,103.95,1.04,1.06,25.82,25.32
