,m1,m2,m3,m4,m5,m6,m7,m8
T1,5.12,5.22,1.09,107.27,100.35,102.75,5.34,10.07
T2,5.47,5.44,1.08,101.53,101.03,108.02,5.4,10.43
T3,5.39,5.43,1.01,103.87,104.61,108.73,5.39,10.73
T4,5.4,5.2,1.03,104.89,102.03,102.87,5.26,10.79
T5,5.16,5.09,1.1,105.86,106.55,102.63,5.03,10.95
T6,5.04,5.01,1.01,106.42,104.76,106.17,5.23,10.68
T7,5.36,5.27,1.08,104.83,102.0,105.55,5.15,10.87
T8,5.24,5.04,1.09,108.65,102.9,105.42,5.07,10.51
T9,5.44,5.23,1.01,109.1,105.21,100.96,5.34,10.55
T10,5.11,5.01,1.03,101.64,107.24,100.88,5.43,10.86
