,m1,m2,m3,m4,m5,m6,m7,m8
T1,5.37,100.08,105.99,5.05,5.06,1.09,5.42,10.05
T2,5.21,103.74,109.05,5.13,5.14,1.02,5.2,10.49
T3,5.09,103.95,108.67,5.07,5.34,1.06,5.44,10.25
T4,5.34,106.66,104.0,5.13,5.44,1.02,5.45,10.73
T5,5.06,107.91,104.16,5.39,5.48,1.06,5.08,10.71
T6,5.38,109.76,100.66,5.29,5.05,1.08,5.31,10.07
T7,5.3,104.65,102.37,5.06,5.37,1.04,5.4,10.47
T8,5.26,102.23,106.49,5.42,5.3,1.01,5.15,10.59
T9,5.2,103.64,109.45,5.05,5.07,1.04,5.35,10.34
T10,5.07,104.59,105.28,5.15,5.47,1.04,5.16,10.17
