,m1,m2,m3,m4,m5,m6,m7,m8
T1,163.62,1.01,106.27,27.01,10.53,162.71,10.52,5.28
T2,164.22,1.01,100.31,27.43,10.16,164.52,10.2,5.31
T3,150.87,1.07,106.43,26.86,10.05,150.6,10.04,5.1
T4,153.62,1.05,102.98,25.58,10.4,152.47,10.86,5.37
T5,162.01,1.02,102.84,26.13,10.74,151.62,10.47,5.11
T6,157.31,1.06,108.02,25.57,10.23,164.11,10.48,5.4
T7,156.28,1.03,100.28,26.18,10.99,162.28,10.96,5.44
T8,162.16,1.08,106.19,25.67,10.93,159.53,10.49,5.28
T9,151.69,1.04,105.29,26.01,10.8,153.63,10.43,5.47
T10,153.99,1.02,106.94,27.18,10.56,153.42,10.64,5.41
