,m1,m2,m3,m4,m5,m6,m7,m8
T1,25.07,109.77,1.08,101.25,101.39,25.36,104.14,108.76
T2,26.0,103.57,1.1,106.16,104.96,26.18,106.52,108.79
T3,26.81,100.62,1.06,104.51,108.4,25.52,108.41,109.09
T4,26.03,104.56,1.05,105.06,101.16,25.2,104.19,107.08
T5,27.49,108.08,1.07,108.11,100.2,27.46,104.18,100.05
T6,26.09,100.69,1.08,100.9,106.03,26.91,102.13,102.25
T7,26.66,101.41,1.03,104.74,100.24,25.91,104.03,107.64
T8,25.51,106.5,1.01,107.67,101.99,26.79,107.91,103.64
T9,26.66,103.58,1.06,105.21,107.28,25.92,105.6,103.52
T10,25.44,109.95,1.04,106.66,106.22,25.83,105.61,100.12
