,m1,m2,m3,m4,m5,m6,m7,m8
T1,151.99,101.93,1.01,108.64,5.35,109.05,10.19,1.03
T2,159.88,103.03,1.08,103.76,5.47,105.66,10.32,1.06
T3,161.82,103.52,1.01,103.85,5.28,109.48,10.28,1.08
T4,160.71,107.14,1.08,108.18,5.36,104.98,10.19,1.05
T5,160.27,108.11,1.03,100.18,5.43,105.07,10.66,1.05
T6,162.36,109.47,1.03,108.21,5.26,107.12,10.03,1.08
T7,150.0,104.98,1.04,101.84,5.42,102.88,10.08,1.02
T8,158.83,102.42,1.0,108.73,5.42,102.83,10.54,1.06
T9,156.73,105.41,1.09,105.39,5.28,103.99,10.43,1.07
T10,164.66,108.19,1.06,106.53,5.36,106.85,10.62,1.01
