,m1,m2,m3,m4,m5,m6,m7,m8
T1,162.81,108.34,10.53,10.52,152.27,159.43,1.08,25.79
T2,164.33,102.9,10.26,10.6,155.43,164.76,1.1,25.81
T3,160.62,106.07,10.42,10.7,156.97,159.14,1.01,26.84
T4,156.24,102.58,10.46,10.25,151.48,153.11,1.09,25.52
T5,163.3,108.89,10.51,10.77,150.61,156.57,1.01,25.9
T6,162.94,101.84,10.65,10.85,150.72,158.34,1.06,26.34
T7,156.0,102.23,11.0,10.5,163.59,156.98,1.02,27.36
T8,164.51,101.63,10.57,10.18,160.14,156.52,1.01,26.11
T9,151.17,109.72,10.06,10.72,158.92,163.02,1.09,27.06
T10,156.7,102.72,10.14,10.61,151.2,157.54,1.1,26.35
