,m1,m2,m3,m4,m5,m6,m7,m8
T1,100.96,5.15,5.1,10.04,104.19,5.15,105.36,10.83
T2,107.44,5.16,5.12,10.27,104.76,5.08,102.24,10.57
T3,107.71,5.23,5.1,10.33,100.9,5.16,101.23,10.63
T4,108.55,5.2,5.09,10.44,105.94,5.48,105.44,10.24
T5,102.91,5.37,5.41,10.51,104.69,5.28,107.16,10.88
T6,104.0,5.09,5.49,10.47,102.5,5.09,107.55,10.73
T7,104.33,5.21,5.09,10.31,101.04,5.48,101.94,10.21
T8,103.45,5.34,5.37,10.61,108.93,5.14,106.13,10.18
T9,109.33,5.35,5.05,10.46,101.66,5.39,100.8,10.66
T10,105.26,5.15,5.13,10.88,105.7,5.31,104.19,10.09
