,m1,m2,m3,m4,m5,m6,m7,m8
T1,5.27,10.93,105.04,108.94,101.05,10.1,5.02,10.3
T2,5.34,10.64,108.77,105.9,102.93,10.06,5.15,10.14
T3,5.35,10.45,108.01,105.37,100.97,10.75,5.24,10.81
T4,5.04,10.12,101.01,108.1,105.17,10.89,5.25,10.35
T5,5.33,10.65,106.97,100.54,104.21,10.82,5.08,10.82
T6,5.32,10.64,101.93,100.76,103.65,10.66,5.26,10.1
T7,5.28,10.75,109.18,102.57,109.23,10.8,5.01,10.47
T8,5.14,10.2,109.61,108.81,108.71,10.94,5.38,10.14
T9,5.5,10.5,107.67,104.61,100.37,10.73,5.15,10.78
T10,5.42,10.54,102.71,103.09,108.3,10.05,5.2,10.79
