,m1,m2,m3,m4,m5,m6,m7,m8
T1,158.96,27.4,27.1,10.59,106.83,5.08,109.94,153.83
T2,152.65,26.93,25.25,10.6,105.13,5.47,108.05,152.27
T3,152.01,25.45,26.94,10.28,107.19,5.3,106.02,163.22
T4,157.02,25.07,25.8,10.5,101.31,5.42,104.82,162.41
T5,161.68,26.81,27.33,10.41,103.61,5.31,103.47,152.49
T6,155.15,25.53,25.52,10.49,105.0,5.08,103.23,160.93
T7,152.21,25.41,25.96,10.82,100.17,5.01,104.06,161.71
T8,163.01,26.35,25.52,10.57,102.37,5.4,102.17,156.38
T9,156.74,25.81,26.5,10.76,100.39,5.4,104.67,157.79
T10,164.81,25.16,27.1,10.34,104.04,5.18,105.45,150.55
