,m1,m2,m3,m4,m5,m6,m7,m8
T1,10.6,25.01,27.04,108.35,109.26,10.44,106.77,26.9
T2,10.11,26.74,25.43,106.37,107.74,10.57,104.59,25.06
T3,10.54,26.77,25.64,108.96,108.59,10.45,101.41,26.74
T4,10.29,26.43,25.07,106.89,104.76,10.92,104.13,27.39
T5,10.39,26.27,25.46,103.05,107.21,10.44,107.06,26.17
T6,10.29,25.7,26.18,106.27,105.27,10.81,102.12,27.16
T7,10.44,26.38,26.58,107.78,102.49,10.56,102.36,25.98
T8,10.76,27.11,25.46,101.86,101.32,10.58,105.16,26.38
T9,10.37,25.63,27.16,104.71,109.72,10.18,105.0,25.42
T10,10.53,26.76,26.4,105.74,106.29,10.97,109.69,26.91
