,m1,m2,m3,m4,m5,m6,m7,m8
T1,26.7,26.2,10.23,107.81,150.22,1.03,27.35,5.29
T2,26.62,27.26,10.47,107.62,158.17,1.03,26.41,5.05
T3,26.06,26.31,10.66,104.53,150.8,1.06,27.48,5.32
T4,25.83,26.72,10.1,105.58,156.45,1.03,26.95,5.07
T5,26.68,26.67,10.06,106.0,152.39,1.07,26.53,5.07
T6,27.03,26.13,10.72,101.04,155.79,1.09,27.1,5.38
T7,27.12,26.3,10.25,100.77,153.6,1.03,27.47,5.4
T8,25.32,27.4,10.34,107.5,162.15,1.08,26.31,5.25
T9,26.76,26.54,11.0,100.73,164.66,1.08,25.39,5.13
T10,27.39,25.08,10.64,104.89,152.16,1.01,25.7,5.1
