,m1,m2,m3,m4,m5,m6,m7,m8
T1,5.1,10.12,1.06,5.02,104.05,10.75,105.38,100.19
T2,5.18,10.42,1.05,5.16,107.73,10.65,109.84,103.03
T3,5.45,10.72,1.06,5.43,101.69,10.25,108.02,106.9
T4,5.43,10.62,1.07,5.38,109.04,10.2,108.33,108.96
T5,5.5,10.73,1.09,5.21,101.05,10.96,109.34,100.74
T6,5.38,10.41,1.09,5.08,105.97,10.8,106.25,106.82
T7,5.32,10.61,1.03,5.04,108.47,10.71,107.4,104.96
T8,5.49,10.72,1.05,5.25,103.14,10.67,100.06,102.59
T9,5.1,10.49,1.1,5.27,101.72,10.75,108.19,100.75
T10,5.03,10.05,1.05,5.38,100.91,10.0,109.84,103.65
