,m1,m2,m3,m4,m5,m6,m7,m8
T1,151.83,26.66,162.63,152.84,158.05,1.04,154.81,1.05
T2,152.88,26.89,153.38,154.92,154.47,1.07,156.72,1.02
T3,161.58,26.19,158.82,156.19,156.42,1.08,157.39,1.07
T4,156.15,25.33,161.85,156.69,150.86,1.07,153.75,1.03
T5,152.55,26.98,151.5,164.65,157.47,1.08,163.88,1.01
T6,163.34,26.43,156.8,156.72,152.28,1.02,157.24,1.05
T7,153.34,26.52,164.59,150.15,164.26,1.05,164.39,1.02
T8,153.46,27.01,158.39,163.1,162.04,1.1,164.39,1.03
T9,163.6,26.68,161.06,159.09,164.12,1.01,161.45,1.06
T10,156.9,25.94,150.08,154.48,154.83,1.04,159.98,1.04
