,m1,m2,m3,m4,m5,m6,m7,m8
T1,154.55,26.46,27.34,25.09,25.76,102.09,10.21,1.08
T2,154.99,26.18,26.13,25.29,26.38,109.65,10.52,1.05
T3,157.09,27.15,27.38,26.06,26.2,104.14,10.18,1.04
T4,164.87,25.96,27.29,26.16,27.23,103.18,10.43,1.01
T5,150.74,26.59,26.68,26.13,25.98,105.14,10.26,1.02
T6,158.54,26.95,25.11,26.97,26.37,106.89,10.6,1.07
T7,161.6,27.31,25.4,25.83,26.52,107.83,10.58,1.03
T8,153.88,25.43,26.79,25.79,27.43,106.74,10.3,1.06
T9,158.84,27.37,26.5,25.16,27.43,104.28,10.57,1.03
T10,158.84,25.5,26.14,25.3,25.62,103.08,10.7,1.08
