,m1,m2,m3,m4,m5,m6,m7,m8
T1,26.62,1.01,109.42,10.51,5.32,26.51,10.89,106.63
T2,27.04,1.05,105.86,10.35,5.29,26.47,10.34,107.75
T3,26.04,1.03,103.17,10.66,5.29,25.22,10.42,105.0
T4,25.01,1.08,104.27,10.69,5.47,25.89,10.01,107.82
T5,25.82,1.09,108.24,10.02,5.28,25.6,10.7,108.9
T6,27.12,1.01,108.27,10.92,5.18,27.1,10.45,103.08
T7,25.91,1.03,105.57,10.75,5.22,25.82,10.53,104.76
T8,25.05,1.09,105.3,10.17,5.35,27.44,10.83,107.42
T9,25.41,1.03,107.07,10.24,5.27,27.12,10.06,108.04
T10,26.04,1.08,103.44,10.08,5.18,25.32,10.84,101.13
