,m1,m2,m3,m4,m5,m6,m7,m8
T1,26.57,5.43,10.28,27.28,26.25,1.04,100.76,108.98
T2,26.96,5.24,10.98,27.16,26.52,1.03,100.76,103.45
T3,26.45,5.26,10.34,26.68,26.73,1.09,104.52,107.16
T4,25.06,5.46,10.05,27.11,25.62,1.01,100.99,101.79
T5,25.54,5.3,10.38,25.93,26.75,1.01,102.25,102.98
T6,25.47,5.02,10.09,26.63,25.48,1.08,101.82,102.57
T7,25.19,5.11,10.58,25.94,25.55,1.08,100.91,107.93
T8,25.26,5.38,10.53,26.74,25.64,1.09,105.45,108.8
T9,25.25,5.24,10.11,27.22,26.94,1.03,105.49,103.47
T10,26.23,5.23,10.17,25.26,26.85,1.0,106.11,106.65
