,m1,m2,m3,m4,m5,m6,m7,m8
T1,10.69,25.12,10.48,27.21,5.07,26.11,150.4,105.9
T2,10.01,26.41,10.1,27.29,5.48,25.66,153.81,105.98
T3,10.2,25.64,10.54,27.48,5.28,27.14,156.04,100.04
T4,10.63,25.29,10.56,25.46,5.19,25.62,160.86,109.19
T5,10.81,26.87,10.89,26.24,5.35,25.83,158.91,103.96
T6,10.81,26.6,10.11,25.73,5.36,25.09,153.88,109.65
T7,10.26,25.1,10.73,27.45,5.27,25.72,157.35,107.79
T8,10.74,26.63,10.19,26.24,5.19,26.59,160.9,108.99
T9,10.3,25.6,10.87,27.48,5.13,26.73,160.83,104.33
T10,10.11,26.57,10.34,27.01,5.31,26.79,163.33,105.29
