,m1,m2,m3,m4,m5,m6,m7,m8
T1,1.08,25.55,109.37,26.46,10.01,5.5,25.87,5.11
T2,1.04,25.79,104.86,25.94,10.06,5.43,26.16,5.37
T3,1.03,25.97,108.22,26.43,10.01,5.02,25.79,5.43
T4,1.08,25.27,106.27,25.0,10.2,5.49,27.17,5.21
T5,1.01,27.0,102.94,26.06,10.19,5.18,25.85,5.47
T6,1.01,27.23,107.41,25.72,10.93,5.16,27.5,5.4
T7,1.01,25.69,107.13,27.31,10.59,5.31,26.12,5.28
T8,1.0,25.14,109.62,25.47,10.89,5.34,25.52,5.0
T9,1.02,26.98,100.17,25.73,10.18,5.36,27.09,5.02
T10,1.08,27.41,105.42,25.97,10.52,5.47,25.72,5.14
