,m1,m2,m3,m4,m5,m6,m7,m8
T1,1.05,101.0,158.64,1.08,162.36,1.06,5.24,157.48
T2,1.05,101.39,164.52,1.09,160.87,1.09,5.28,161.05
T3,1.09,106.96,161.8,1.04,161.75,1.06,5.13,154.69
T4,1.06,102.21,152.68,1.01,163.92,1.1,5.24,162.87
T5,1.09,109.81,150.19,1.08,158.02,1.06,5.42,158.02
T6,1.01,104.12,157.55,1.05,155.4,1.01,5.06,159.88
T7,1.06,106.39,155.28,1.08,164.28,1.07,5.24,159.02
T8,1.06,102.19,152.63,1.06,153.08,1.07,5.44,162.89
T9,1.07,108.72,158.09,1.09,150.27,1.08,5.04,157.07
T10,1.05,103.36,158.94,1.09,151.52,1.02,5.08,160.82
