,m1,m2,m3,m4,m5,m6,m7,m8
T1,152.53,26.48,108.57,25.9,26.29,27.45,102.71,26.13
T2,151.5,26.64,105.99,27.25,25.9,25.16,106.19,25.82
T3,159.57,25.05,101.55,26.18,25.82,26.62,103.05,26.58
T4,161.32,25.82,100.53,26.49,26.22,26.38,107.73,26.89
T5,156.21,25.58,100.88,25.81,25.17,26.35,102.56,27.41
T6,157.31,26.35,100.87,26.5,26.83,26.89,108.29,26.92
T7,160.65,26.64,108.21,26.73,26.37,25.33,101.26,25.44
T8,154.61,25.04,107.85,25.04,27.11,26.07,101.55,26.86
T9,152.22,25.63,103.39,26.19,26.46,26.54,100.2,25.41
T10,159.59,25.23,103.59,27.2,26.94,25.56,104.49,26.62
