,m1,m2,m3,m4,m5,m6,m7,m8
T1,27.28,104.78,26.37,10.92,10.44,106.45,5.04,5.22
T2,26.31,104.02,26.64,10.83,10.52,105.15,5.12,5.24
T3,25.22,101.17,26.39,10.25,10.45,104.28,5.37,5.2
T4,27.12,107.83,25.04,10.07,10.74,106.32,5.14,5.37
T5,27.15,102.31,25.61,10.58,10.4,109.86,5.36,5.16
T6,25.07,107.03,26.4,10.31,10.04,106.87,5.36,5.32
T7,26.17,101.06,25.12,10.97,10.15,105.67,5.02,5.35
T8,26.79,104.87,25.07,10.46,10.97,108.56,5.04,5.4
T9,26.92,101.88,27.05,10.47,10.28,103.62,5.28,5.04
T10,26.37,104.07,26.88,10.07,10.47,106.86,5.25,5.22
