,m1,m2,m3,m4,m5,m6,m7,m8
T1,5.41,25.2,1.05,10.99,26.54,27.36,25.96,25.01
T2,5.38,25.08,1.08,10.37,25.57,26.71,27.15,25.5
T3,5.29,26.5,1.07,10.01,27.3,25.88,26.45,27.24
T4,5.26,26.44,1.06,10.76,27.44,26.9,25.13,26.67
T5,5.36,26.21,1.07,10.45,26.05,25.78,25.89,26.65
T6,5.22,25.61,1.07,10.24,26.67,26.75,26.4,25.41
T7,5.41,26.71,1.05,10.6,25.75,25.61,25.31,26.94
T8,5.25,27.01,1.08,10.84,25.48,25.61,25.51,26.05
T9,5.37,25.53,1.05,10.61,26.04,25.56,26.97,25.98
T10,5.33,25.03,1.03,10.38,26.54,26.78,27.4,25.84
