,m1,m2,m3,m4,m5,m6,m7,m8
T1,27.07,5.12,104.1,10.85,10.15,163.5,1.02,10.86
T2,25.43,5.02,105.18,10.82,10.93,159.25,1.05,10.59
T3,27.39,5.1,101.19,10.25,10.97,163.16,1.08,10.75
T4,26.35,5.25,105.45,10.36,10.03,155.94,1.07,10.6
T5,27.44,5.39,107.31,10.73,10.55,155.87,1.09,10.07
T6,26.24,5.28,101.9,10.45,10.1,163.34,1.06,10.94
T7,25.95,5.37,107.0,10.28,10.32,150.28,1.08,10.67
T8,26.48,5.29,102.52,10.05,10.79,156.07,1.06,10.45
T9,26.83,5.41,103.28,10.11,10.28,155.29,1.04,10.46
T10,27.11,5.2,103.23,10.32,10.12,157.84,1.08,10.24
