,m1,m2,m3,m4,m5,m6,m7,m8
T1,10.66,5.23,5.49,5.15,1.09,106.34,157.6,109.95
T2,10.29,5.04,5.25,5.3,1.08,100.26,152.11,105.72
T3,10.25,5.33,5.26,5.42,1.0,109.23,159.62,103.98
T4,10.19,5.4,5.43,5.08,1.03,109.64,154.58,106.72
T5,10.07,5.47,5.0,5.23,1.09,103.06,153.12,108.8
T6,10.69,5.47,5.11,5.29,1.09,106.69,150.63,102.06
T7,10.17,5.15,5.02,5.37,1.02,106.65,161.28,106.74
T8,10.86,5.18,5.21,5.42,1.03,107.7,161.67,103.2
T9,10.43,5.09,5.49,5.3,1.0,107.91,159.29,104.04
T10,10.61,5.01,5.44,5.39,1.04,104.01,154.39,100.89
