,m1,m2,m3,m4,m5,m6,m7,m8
T1,5.42,102.77,26.89,5.27,25.0,101.84,10.15,1.03
T2,5.4,101.04,26.62,5.15,25.28,102.03,10.66,1.03
T3,5.47,105.3,26.85,5.0,26.38,102.69,10.82,1.04
T4,5.26,104.65,25.99,5.42,26.49,109.68,10.27,1.06
T5,5.32,100.16,27.09,5.17,27.29,103.14,10.14,1.05
T6,5.11,101.38,27.14,5.15,26.42,105.89,10.57,1.08
T7,5.14,103.66,25.45,5.3,25.19,109.39,10.03,1.0
T8,5.35,100.2,25.74,5.48,27.26,106.55,10.31,1.05
T9,5.33,104.82,26.64,5.05,27.15,106.58,10.97,1.05
T10,5.4,107.31,26.92,5.33,25.15,102.51,10.96,1.02
