,m1,m2,m3,m4,m5,m6,m7,m8
T1,26.51,164.99,104.23,109.5,103.19,10.9,1.03,10.54
T2,26.96,151.25,106.17,101.48,106.56,10.39,1.04,10.77
T3,25.99,158.79,105.99,102.34,106.71,10.48,1.02,10.93
T4,25.86,160.4,102.75,100.22,100.58,10.56,1.02,10.01
T5,25.8,152.9,103.07,106.65,103.69,10.77,1.02,10.67
T6,25.38,158.04,103.75,105.55,105.04,10.09,1.02,10.32
T7,26.57,163.76,108.37,108.04,105.11,10.35,1.03,10.84
T8,25.42,156.24,101.18,104.39,104.38,10.66,1.08,10.29
T9,27.34,164.18,102.84,105.94,104.84,10.72,1.08,10.68
T10,26.93,160.92,105.52,101.41,109.29,10.8,1.09,10.3
