,m1,m2,m3,m4,m5,m6,m7,m8
T1,25.79,25.11,10.94,5.02,25.83,25.51,26.68,5.28
T2,26.35,26.44,10.46,5.22,26.14,25.61,26.5,5.46
T3,27.42,26.41,10.58,5.04,27.48,26.52,25.04,5.02
T4,25.93,27.15,10.93,5.18,25.42,26.42,25.01,5.08
T5,25.65,25.02,10.78,5.14,26.34,26.34,25.08,5.05
T6,25.52,25.22,10.37,5.23,26.71,26.56,27.33,5.06
T7,26.74,25.0,10.38,5.33,25.1,26.86,25.83,5.45
T8,25.73,27.17,10.35,5.23,25.9,27.14,26.22,5.45
T9,25.53,25.27,10.59,5.45,25.37,27.31,26.39,5.08
T10,27.36,25.7,10.31,5.36,26.68,25.28,26.97,5.12
