,m1,m2,m3,m4,m5,m6,m7,m8
T1,150.87,159.34,25.97,157.81,27.15,108.17,1.02,10.56
T2,151.25,164.31,25.43,153.6,25.16,103.22,1.04,10.28
T3,157.1,158.09,25.29,156.16,25.3,104.1,1.08,10.51
T4,159.75,162.88,25.79,157.42,27.14,103.05,1.1,10.96
T5,163.58,157.6,25.37,161.41,27.16,109.99,1.0,10.6
T6,162.65,158.34,26.65,162.23,25.87,106.33,1.05,10.98
T7,153.92,150.66,27.38,154.5,26.58,101.87,1.01,10.58
T8,159.29,164.6,25.21,160.64,25.74,103.42,1.09,10.31
T9,151.4,152.93,25.06,164.39,27.3,104.43,1.02,10.55
T10,153.38,154.2,27.09,158.42,25.18,100.28,1.02,10.32
