,m1,m2,m3,m4,m5,m6,m7,m8
T1,107.29,25.47,27.24,107.53,5.37,25.34,100.8,109.6
T2,108.16,25.63,26.37,106.04,5.45,27.23,106.63,101.79
T3,102.59,26.41,27.22,103.95,5.34,25.4,108.49,107.22
T4,103.01,26.29,25.57,104.84,5.14,25.76,109.54,104.3
T5,107.72,25.75,26.38,105.99,5.31,25.41,108.32,106.6
T6,106.5,26.31,26.09,104.44,5.04,27.43,109.42,103.27
T7,102.83,26.09,26.13,103.78,5.1,27.4,107.75,106.47
T8,108.52,25.52,26.42,101.98,5.28,27.25,109.07,106.4
T9,103.72,25.57,25.86,105.73,5.11,26.44,106.45,107.84
T10,103.55,26.95,26.24,105.07,5.26,26.44,109.37,106.31
