,m1,m2,m3,m4,m5,m6,m7,m8
T1,25.06,10.86,102.14,27.27,109.41,1.05,101.61,5.11
T2,25.29,10.41,101.49,27.39,102.21,1.05,103.3,5.16
T3,26.35,10.15,108.86,25.17,109.2,1.02,108.9,5.4
T4,25.4,10.64,104.31,26.83,101.51,1.03,109.66,5.31
T5,25.83,10.09,100.01,26.13,106.09,1.02,105.44,5.09
T6,27.29,10.17,107.53,25.63,100.78,1.02,100.72,5.09
T7,25.21,10.48,109.3,26.05,105.54,1.03,107.2,5.48
T8,25.29,10.14,101.23,26.18,103.99,1.07,109.14,5.44
T9,26.3,10.69,101.6,26.65,105.34,1.08,108.37,5.02
T10,26.37,10.77,109.57,27.32,104.46,1.04,102.26,5.44
