,m1,m2,m3,m4,m5,m6,m7,m8
T1,26.1,10.35,108.21,107.82,151.99,25.66,106.56,100.68
T2,27.41,10.26,100.93,104.47,159.5,25.51,102.38,100.28
T3,25.21,10.23,105.2,101.37,162.44,25.78,105.82,107.22
T4,25.24,10.67,100.23,104.91,157.97,25.69,107.75,108.66
T5,25.65,10.74,100.24,106.09,157.7,26.26,100.94,101.0
T6,26.78,10.11,105.7,100.05,153.92,26.26,100.67,100.87
T7,25.78,10.17,100.32,105.98,158.14,26.8,103.25,107.98
T8,25.72,10.29,105.11,106.6,161.86,25.7,100.04,108.43
T9,26.58,10.74,108.69,101.24,164.69,25.83,109.0,106.28
T10,25.89,10.15,100.01,100.76,158.8,26.33,108.55,104.44
