,m1,m2,m3,m4,m5,m6,m7,m8
T1,103.44,26.35,10.13,109.17,25.11,25.6,105.6,10.76
T2,102.25,25.23,10.26,108.44,26.48,26.57,101.05,10.69
T3,105.9,26.4,10.07,101.95,26.12,26.89,102.58,10.16
T4,107.73,25.3,10.02,100.3,25.43,26.77,104.4,10.71
T5,102.32,27.07,10.52,100.53,25.02,26.44,102.23,10.83
T6,105.7,26.85,10.14,106.24,25.83,25.52,105.93,10.07
T7,103.29,25.62,10.19,102.17,25.71,26.58,109.16,10.91
T8,105.29,25.68,10.12,105.54,25.94,27.4,100.83,10.33
T9,108.69,26.54,10.17,108.11,26.11,27.14,108.65,10.11
T10,105.66,25.29,10.23,103.24,26.07,25.74,109.68,10.48
