,m1,m2,m3,m4,m5,m6,m7,m8
T1,106.75,101.27,25.46,27.01,10.09,25.93,152.96,103.64
T2,104.34,101.44,26.24,26.02,10.82,27.02,159.82,105.28
T3,106.97,104.03,25.29,27.42,10.76,26.35,160.9,109.97
T4,100.27,103.77,27.17,26.67,10.44,25.45,160.69,100.37
T5,101.47,105.45,27.47,27.49,10.8,26.49,164.1,104.97
T6,107.4,105.88,25.3,27.33,10.6,26.96,154.73,106.71
T7,106.72,102.2,27.3,26.88,10.95,26.11,163.26,109.93
T8,101.03,109.28,25.32,27.11,10.33,26.33,160.99,103.75
T9,100.22,104.39,25.78,26.02,10.65,25.65,163.57,100.19
T10,103.46,108.3,27.28,25.19,10.24,25.08,156.23,104.28
