,m1,m2,m3,m4,m5,m6,m7,m8
T1,10.16,10.58,25.09,10.95,109.58,155.45,1.08,1.03
T2,10.7,10.36,26.07,10.18,102.88,151.82,1.05,1.01
T3,10.72,10.46,27.31,10.34,107.87,161.89,1.01,1.06
T4,10.4,10.28,26.91,10.5,104.68,160.62,1.09,1.06
T5,10.65,10.5,26.96,10.59,106.61,153.16,1.0,1.01
T6,10.96,10.22,26.99,10.51,108.19,150.53,1.04,1.06
T7,10.7,10.08,27.29,10.46,105.23,150.93,1.08,1.09
T8,10.58,10.48,26.19,10.34,103.47,157.94,1.04,1.09
T9,10.16,10.45,26.45,10.42,107.25,162.16,1.02,1.06
T10,10.26,10.91,25.44,10.81,106.96,155.1,1.08,1.0
