,m1,m2,m3,m4,m5,m6,m7,m8
T1,1.04,25.44,10.52,5.17,107.96,26.37,27.14,26.51
T2,1.04,27.43,10.89,5.34,109.37,27.38,25.7,25.27
T3,1.03,26.58,10.58,5.22,101.62,25.28,25.06,27.47
T4,1.02,26.41,10.18,5.24,104.44,27.02,27.12,27.36
T5,1.09,26.3,10.46,5.16,106.87,26.67,25.35,26.08
T6,1.03,25.32,10.68,5.39,103.01,26.34,27.12,27.12
T7,1.04,25.1,10.55,5.32,106.28,26.56,27.25,25.38
T8,1.03,27.5,10.41,5.26,100.19,27.04,26.82,26.75
T9,1.0,26.83,10.59,5.1,108.63,27.19,26.49,27.03
T10,1.06,25.41,10.27,5.23,109.0,26.29,26.29,25.11
