,m1,m2,m3,m4,m5,m6,m7,m8
T1,1.03,1.07,10.84,109.95,25.94,26.0,10.36,25.44
T2,1.06,1.03,10.83,104.01,26.22,26.37,10.69,26.53
T3,1.05,1.0,10.31,107.91,25.75,26.78,10.16,26.73
T4,1.06,1.07,10.57,103.41,27.38,26.42,10.9,27.14
T5,1.04,1.09,10.15,108.09,26.74,25.45,10.36,26.68
T6,1.02,1.07,10.33,106.5,26.58,26.92,10.47,25.85
T7,1.09,1.03,10.62,101.24,25.75,25.06,10.74,26.97
T8,1.09,1.07,10.36,104.64,26.77,25.82,10.01,26.26
T9,1.08,1.0,10.39,102.48,27.04,25.67,10.97,26.64
T10,1.09,1.04,10.61,105.07,26.79,26.82,10.78,25.36
