,m1,m2,m3,m4,m5,m6,m7,m8
T1,26.02,102.96,5.17,1.04,154.4,1.01,104.55,26.49
T2,26.93,108.35,5.48,1.07,158.87,1.05,105.54,25.29
T3,26.74,100.81,5.08,1.04,155.19,1.04,109.89,25.68
T4,25.39,100.86,5.04,1.08,155.72,1.08,106.95,25.44
T5,25.23,101.2,5.01,1.07,164.08,1.05,107.46,26.74
T6,26.61,104.22,5.12,1.06,157.55,1.04,109.62,26.93
T7,27.47,100.26,5.06,1.07,161.06,1.06,106.96,27.02
T8,26.56,107.56,5.32,1.09,159.88,1.09,109.81,26.14
T9,27.13,107.42,5.24,1.05,162.32,1.09,104.7,27.32
T10,27.34,102.95,5.38,1.01,158.53,1.04,102.8,25.22
