,m1,m2,m3,m4,m5,m6,m7,m8
T1,5.49,5.23,106.65,25.44,150.63,5.44,10.66,25.37
T2,5.05,5.32,105.12,27.5,158.41,5.47,10.37,26.93
T3,5.27,5.48,101.93,26.26,150.26,5.47,10.14,25.19
T4,5.12,5.44,104.53,27.04,157.6,5.49,10.68,26.39
T5,5.39,5.14,102.25,25.23,150.32,5.06,10.14,25.34
T6,5.1,5.28,105.05,25.79,153.35,5.3,10.95,26.29
T7,5.02,5.27,107.67,25.75,151.58,5.37,10.89,27.34
T8,5.39,5.36,106.74,26.87,163.31,5.13,10.87,27.24
T9,5.4,5.2,107.14,25.32,150.58,5.11,10.49,27.17
T10,5.26,5.32,101.54,27.23,163.88,5.25,10.84,26.42
