,m1,m2,m3,m4,m5,m6,m7,m8
T1,5.23,5.42,25.76,109.87,26.09,107.68,27.31,101.36
T2,5.07,5.42,25.25,106.25,25.87,100.98,26.72,104.51
T3,5.17,5.48,26.35,101.52,25.92,100.25,25.19,106.69
T4,5.07,5.12,27.17,106.27,25.94,101.69,25.56,108.97
T5,5.12,5.05,27.29,108.31,25.14,101.94,26.45,101.91
T6,5.07,5.48,26.8,108.43,26.28,101.59,26.82,101.85
T7,5.31,5.45,27.05,102.15,27.27,109.37,27.39,100.06
T8,5.42,5.43,26.8,102.19,25.24,106.73,26.85,105.71
T9,5.29,5.16,26.86,106.07,26.41,106.82,27.38,100.83
T10,5.17,5.43,27.35,101.27,27.1,105.89,26.27,107.76
