,m1,m2,m3,m4,m5,m6,m7,m8
T1,102.41,1.03,10.97,10.16,27.41,152.23,108.65,5.21
T2,105.84,1.06,10.09,10.47,26.24,154.02,100.1,5.43
T3,108.3,1.06,10.36,10.37,25.76,163.42,109.01,5.46
T4,108.48,1.04,10.85,10.95,26.1,155.19,103.89,5.21
T5,102.5,1.0,10.8,10.98,25.5,158.07,102.44,5.13
T6,105.07,1.0,10.72,10.85,25.65,164.28,101.95,5.05
T7,108.91,1.03,10.5,10.72,27.18,155.81,107.36,5.28
T8,100.18,1.04,10.68,10.1,26.4,159.35,100.35,5.18
T9,103.76,1.06,10.72,10.22,26.39,164.66,104.08,5.27
T10,109.31,1.04,10.48,10.68,26.36,156.89,106.97,5.43
