,m1,m2,m3,m4,m5,m6,m7,m8
T1,163.91,104.06,1.1,109.98,26.61,10.28,1.07,5.14
T2,158.58,104.23,1.05,100.26,25.5,10.66,1.05,5.46
T3,154.3,109.0,1.0,107.05,25.08,10.94,1.09,5.5
T4,161.72,102.33,1.09,104.83,27.13,10.08,1.0,5.43
T5,156.83,101.87,1.09,107.1,27.28,10.78,1.01,5.02
T6,154.71,105.08,1.03,102.96,26.5,10.05,1.02,5.08
T7,160.88,105.94,1.08,106.87,25.37,10.55,1.04,5.41
T8,153.1,109.45,1.04,100.04,25.3,10.77,1.08,5.43
T9,160.65,103.28,1.02,106.88,25.5,10.79,1.01,5.03
T10,158.07,100.41,1.1,106.77,25.58,10.38,1.09,5.47
