,m1,m2,m3,m4,m5,m6,m7,m8
T1,25.26,1.04,159.49,104.01,5.38,27.29,104.26,162.03
T2,26.89,1.02,155.15,104.67,5.46,26.64,105.29,154.91
T3,26.6,1.01,155.78,109.09,5.02,25.37,102.53,157.62
T4,27.42,1.07,157.6,104.77,5.26,27.28,101.38,155.03
T5,27.27,1.05,160.35,109.94,5.15,26.75,102.3,155.22
T6,26.0,1.1,151.45,109.0,5.27,27.23,107.14,154.02
T7,25.68,1.01,155.95,106.73,5.13,27.41,107.81,162.11
T8,26.03,1.09,162.15,108.15,5.37,25.72,104.46,158.52
T9,25.73,1.05,159.08,106.18,5.48,25.52,102.83,157.38
T10,26.65,1.05,164.84,102.25,5.03,26.66,103.1,160.54
