,m1,m2,m3,m4,m5,m6,m7,m8
T1,1.04,27.44,1.09,105.96,10.98,26.21,102.33,10.16
T2,1.05,26.9,1.1,103.18,10.58,25.61,109.68,10.92
T3,1.05,25.42,1.03,105.22,10.95,26.61,101.73,10.59
T4,1.01,27.28,1.07,108.47,10.44,26.38,105.52,10.93
T5,1.04,26.4,1.02,101.65,10.05,26.76,106.16,10.89
T6,1.1,26.73,1.05,107.64,10.51,27.48,101.21,10.81
T7,1.02,26.62,1.03,100.05,10.78,26.23,100.27,10.4
T8,1.02,25.27,1.05,100.69,10.65,25.54,100.73,10.48
T9,1.02,25.24,1.02,100.9,10.23,25.67,107.57,10.15
T10,1.05,26.55,1.07,103.15,10.13,27.09,109.21,10.22
