,m1,m2,m3,m4,m5,m6,m7,m8
T1,25.78,25.55,5.31,5.23,10.54,1.06,109.55,151.03
T2,25.5,25.8,5.44,5.27,10.35,1.07,104.07,157.58
T3,26.95,25.49,5.28,5.21,10.19,1.0,109.85,152.54
T4,26.59,26.41,5.49,5.37,10.81,1.03,106.0,162.04
T5,25.51,26.23,5.29,5.42,10.42,1.0,101.51,161.66
T6,27.48,25.81,5.47,5.3,10.53,1.0,106.41,157.72
T7,27.0,26.19,5.46,5.19,10.92,1.01,102.02,161.53
T8,27.08,25.96,5.47,5.37,10.39,1.02,107.72,155.51
T9,26.13,27.26,5.48,5.18,10.43,1.01,104.17,156.95
T10,27.03,26.09,5.48,5.01,10.59,1.03,106.88,150.23
