,m1,m2,m3,m4,m5,m6,m7,m8
T1,103.36,25.17,100.2,102.42,10.8,103.59,10.87,161.73
T2,104.35,26.09,106.41,100.74,10.74,108.35,10.84,153.61
T3,108.07,25.81,100.47,109.31,10.22,107.61,10.34,155.63
T4,106.81,26.26,103.51,108.66,10.83,105.5,10.9,157.04
T5,100.17,25.93,100.24,108.87,10.87,108.36,10.79,156.34
T6,105.91,26.38,108.03,104.59,10.47,107.04,10.72,156.8
T7,108.13,25.41,109.91,107.73,10.72,108.65,10.73,153.56
T8,108.9,26.45,105.74,101.4,10.78,107.57,10.87,164.87
T9,109.73,27.01,102.62,103.27,10.16,104.56,10.44,160.86
T10,107.79,26.9,105.92,103.37,10.41,103.74,10.39,153.43
