,m1,m2,m3,m4,m5,m6,m7,m8
T1,26.54,103.63,26.0,102.43,1.02,5.08,108.41,152.86
T2,26.51,103.45,27.11,101.96,1.05,5.08,104.84,150.9
T3,25.57,106.59,26.89,100.32,1.05,5.07,103.78,150.38
T4,25.33,105.49,25.4,108.06,1.04,5.31,103.86,160.51
T5,25.4,108.03,26.42,105.81,1.09,5.39,105.55,162.42
T6,27.12,102.76,25.39,106.78,1.04,5.09,107.08,151.91
T7,27.46,104.45,25.39,102.63,1.02,5.3,101.14,157.87
T8,25.96,103.02,26.27,101.76,1.08,5.32,100.02,154.0
T9,25.1,102.88,27.26,107.5,1.01,5.06,105.37,153.37
T10,25.66,108.81,26.2,109.87,1.02,5.23,106.03,152.16
