,m1,m2,m3,m4,m5,m6,m7,m8
T1,101.01,150.9,10.74,1.03,154.24,155.42,101.81,104.3
T2,109.63,150.08,10.68,1.02,155.85,157.69,105.21,101.8
T3,107.4,159.49,10.6,1.02,163.04,161.78,104.4,108.46
T4,101.62,155.3,10.77,1.06,155.02,152.78,107.47,102.65
T5,103.55,164.56,10.91,1.04,155.6,155.2,105.62,102.67
T6,104.87,151.25,10.29,1.02,159.24,155.16,100.37,101.09
T7,106.83,152.68,10.49,1.06,150.95,163.91,107.44,108.51
T8,102.95,157.96,10.72,1.06,164.87,152.86,107.94,108.91
T9,106.27,152.8,10.36,1.0,152.21,160.04,104.62,107.92
T10,102.87,164.37,10.16,1.0,164.43,156.86,103.97,109.38
