,m1,m2,m3,m4,m5,m6,m7,m8
T1,26.85,10.02,109.47,104.69,26.67,103.44,10.36,5.44
T2,26.81,10.56,100.28,102.73,26.8,109.04,10.57,5.09
T3,25.3,10.72,102.49,106.85,26.92,106.03,10.9,5.09
T4,25.33,10.8,101.85,107.13,27.39,108.32,10.48,5.49
T5,27.43,10.24,101.93,105.28,25.22,104.52,10.06,5.13
T6,26.4,10.41,107.62,101.78,27.15,109.47,10.54,5.21
T7,26.09,10.96,108.83,105.14,25.1,109.08,10.82,5.38
T8,26.73,10.1,106.2,109.49,26.12,103.2,10.55,5.14
T9,26.37,10.36,104.0,105.69,25.13,107.05,10.73,5.01
T10,26.35,10.83,106.6,104.41,25.64,105.21,10.41,5.48
