,m1,m2,m3,m4,m5,m6,m7,m8
T1,103.57,154.65,1.02,103.44,26.15,27.22,1.04,5.26
T2,109.97,151.05,1.05,101.58,26.66,25.35,1.05,5.3
T3,106.99,160.91,1.04,106.34,26.09,26.16,1.08,5.2
T4,107.38,159.83,1.05,106.52,25.81,26.95,1.07,5.1
T5,102.84,160.72,1.01,103.11,26.94,26.17,1.0,5.46
T6,107.0,152.78,1.09,107.48,25.72,26.94,1.0,5.12
T7,102.63,161.25,1.01,109.04,27.49,27.02,1.03,5.14
T8,101.54,156.12,1.05,103.44,25.94,25.49,1.05,5.42
T9,101.22,150.97,1.06,102.92,25.02,26.25,1.02,5.03
T10,106.14,161.07,1.02,103.03,25.66,27.5,1.08,5.2
